Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
12/3/1990,"Romulus, Michigan",Northwest Airlines/ Northwest Airlines,Detroit - Pittsburg,Boeing B-727-251 / MD Douglas DC-9-14,198,8,0
12/4/1990,"Nairobi, Kenya",Sudania Air Cargo,,Boeing B-707-320F,10,10,0
3/11/1991,"Hassfurt, Germany",Luft-Taxi Emsland,,Cessna 402B,7,6,0
5/9/1991,"Sulawesi, Indonesia",Merpati Nusantara Airlines,Ambon - Ternate - Manado,Fokker F-27 Friendship 600,13,13,0
6/20/1991,"Near Malambo, Colombia",Aerosucre Colombia,Bogota - Malambo,Douglas DC-6BF,18,2,0
9/27/1991,"Guadalcanal Island, Solomon Islands",Solomon Islands Airlines,Kira-Kira - Honiara,de Havilland Canada DHC-6 Twin Otter 300,15,15,0
11/20/1991,"Davis, California",Air Taxi - Airis Helicopters Inc.,"San Francisco, CA - Sacramento, CA",Bell 206B,3,3,0
1/13/1993,"Sellafield, England",Titan Airways,Southend - Glasgow,Embraer 110P1 Bandeirante,2,2,0
4/27/1993,"Near Kholm, Afghanistan",Military - Afghan Republican Air Force,Kabul - Mazar-i- Sharif,Antonov AN-32,76,76,0
11/13/1993,"Urumqi, China",China Northern Airlines,Beijing - Urumqi,McDonnell Douglas MD-82,102,12,0
12/1/1993,"Hibbing, Minnesota",Express Airlines - Northwest Airlink,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,18,18,0
12/13/1993,"Phonesavanh, Laos",Lao Aviation,Vientiane - Phonesavahn,Yunshuji Y-12-II,18,18,0
12/26/1993,"Gyumri, Armenia",Kuban Airlines,Krasnadar - Gyumri,Antonov AN-26,36,36,0
6/2/1994,"Near Campbeltown, Scotland",Military - Royal Air Force,Aldergrove AB - Fort George,Boeing Vertol Chinook HC-2 (helicopter),29,29,0
4/27/1994,"Stratford, Connecticut",Action Airlines,"AtlantiCity, NJ - Stratford, CT",Piper PA-31-350 Navajo,9,8,0
11/22/1994,"Bridgeton, Missouri",Trans World Airlines / Private,,McDonnell Douglas DC-9-82 / Cessna 441,142,2,0
1/14/1995,"Los Angeles, CA",Air Taxi - Wolfe Air Aviation Ltd.,"Los Angeles, CA - Burbank, CA",Bell 206B,4,2,0
9/9/1995,"Near La Macarena, Colombia",SAETA,Villavicencio - La Macarena,CASA 212 Aviocar 200,22,21,0
9/27/1995,"Campbell River, British Columbia, Canada",Western Straits Air,Triumph Bay - Campbell River,De Havilland Dash-3,10,8,0
10/31/1995,"Near Piedras Negras, Mexico",TACSA,Saltillo - Piedras Negras,Cessna 208B Caravan,11,9,0
2/6/1996,"Near Ensenada, Mexico",Aérotaxi Cachanilla,Tijuana - Ensenada,Cessna 500 Citation,8,8,0
3/9/1996,"Near Mesones Muro, Peru",Military - Peruvian Army Aviation,Condorcanqui - Bagua,Mil Mi-17,23,23,0
4/5/1996,"Off Matsu Island, Taiwan",Formosa Airlines,Taipei - Matsu Island,Dornier 228-212,17,6,0
7/11/1996,"Near Kanda, India",Archana Airlines,Delhi - Shimla - Kulu,Let 410,9,9,0
8/18/1996,"Near Alliford Bay, British Columbia, Canada2",Harbour Air,Tasu - Alliford,de Havilland Canada DHC-3 Turbo Otter,3,3,0
3/12/1997,"Lucapa, Angola",ALADA,Luanda - Lucapa,Antonov AN-12B,16,16,0
1/2/1997,"Edenton, North Carolina",Tar Heel Aviation,Manteo - Edenton,Cessna 208B Grand Caravan,2,2,0
12/31/1997,"Rio Sidra, Panama",Parsa,Panama City - Rio Sidra,Britten Norman BN-2A Trislander,10,10,0
1/13/1998,"Brno, Czech Republic",Aeroservice International,Gomel - Kunovice,Let 410UVP,2,2,0
2/12/1998,"Near Nasir, Sudan",Military - Sudan Air Force,,Antonov AN-32,57,27,0
2/16/1998,"Taipei, Taiwan",China Airlines (Taiwan),Denpasar - Taipei,Airbus A300-622R,196,196,7
3/19/1998,"Near Charasyab, Afghanistan",Ariana Afghan Airlines,Dubai - Kandahar - Kabul,Boeing B-727-228,45,45,0
4/20/1998,"Near Bogota, Colombia",Air France,Bogota - Quito,Boeing B-727-230,53,53,0
5/25/1998,"Indian Trail, North Carolina",Air Taxi - US Helicopters Inc.,"Charlotte, NC - Monroe, NC",Bell 206L-3,5,5,0
11/1/1998,"Near Quetzaltenango, Guatemala",Living Water Teaching Ministries Charter,Plaa Grande - Quetzaltenango,Douglas DC-3C,18,11,0
7/2/1999,"Sittwe, Myanmar",Myanmar Airways,Yangon - Sittwe,Fokker F-27 Friendship 600,8,8,0
12/22/1998,"Medellín, Colombia",SELVA,Bogotá - Medellín,Antonov 32B,5,5,0
3/7/1999,"New Delhi, India",Military - Indian Air Force,Gwalior -  Pokhran - New Delhi,Antonov AN-32 Transport,19,19,3
4/8/1999,"Near Malaga, Colombia",Aerotaca,Bucaramanga - Malaga,de Havilland Canada DHC-6 Twin Otter 300,5,5,0
8/7/1999,"Santo Antao, Cape Verde Islands",TACV-Cabo Verde Airlines,Sao Vicente - Santo Antao,Dornier 228-201,18,18,0
12/7/1999,"Bethel, Alaska",Air Taxi - Grant Aviation Inc.,,Cessna 207,6,6,0
4/1/2000,"Near Gualeguaychu, Argentina",Taxval,,Cessna 208 Caravan,1,1,0
5/17/2000,"Moanda, Gabon",Avirex,Libreville - Moanda,Beechcraft 1900C-1,10,3,0
6/21/2000,"Cuiaba, Brazil",Air taxi - Jao Air Taxi,Cuiaba - Rondonopolis,Beech Baron,4,4,0
7/8/2000,"Near Villahermosa, Mexico",Aerocaribe,Tuxtla Gutierrez - Villahermosa,British Aerospace  BAe Jetstream 32EP,19,19,0
7/13/2000,"Raleigh, North Carolina",Win Win Aviation,"Hinckley, IL - Louisburg, NC",de Havilland Canada DHC-6 Twin Otter 200,3,1,0
7/27/2000,"Jodhura, Nepal",Royal Nepal Airlines,Bajhang - Dhangadhi,de Havilland Canada DHC-6 Twin Otter 300,25,25,0
10/9/2000,"Lummi Island, Washington",Empire Airlines,Bellingham - Eastsound-Orcas Island,Cessna 208B Caravan I Super Cargomaster,1,1,0
10/16/2000,"Hillsboro, Missouri",Private,St. Louis - New Madrid,Cessna 335,3,3,0
4/2/2001,"Ashbaubenon, Wisconsin",Jet Wings,"Green Bay - Ft. Myers, Fl",Cessna 501 Citation I/SP,1,1,0
4/7/2001,"Thanh Tranh Village, Vietnam",SFC Vietnam - Charter - Full Account,Vinh - Dong Hoi - Hue,Mil Mi-18 Helicopter,16,16,0
10/8/2001,"Milan, Italy",Scandinavian Airlines (SAS) / Private,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,114,114,4
1/14/2002,"Bilbao, Spain",Ibertrans Aérea,Madrid - Bilbao,Embraer EMB-120 Brasilia,3,3,0
1/28/2002,"Near Ipiales, Colombia",TAME,Quito -  Tulcán - Cali,Boeing B-727-134,92,92,0
2/12/2002,"Near Khorramabed, Iran",Iran Air Tours,Tehran - Khorramabed,Tupolev TU-154,117,117,0
4/15/2002,"Busan, South Korea",Air China,Beijing - Busan,Boeing B-767-200ER,166,128,0
4/28/2002,"Near Abakan, Russia",Private,,Mi-8 helicopter,20,8,0
8/7/2002,"Caguas, Puerto Rico",Military - U.S. Air Force,Roosevelt Roads NS - Borinquen NGB,Lockheed MC-130H Hercules,10,10,0
8/29/2002,"Near Ayan, Russia",Vostok Aviakompania,Khabarovsk - Ayan,Antonov AN-28,16,16,0
10/25/2002,"Eveleth, Minnesota",Aviation Charter - Air Taxi,St. Paul - Eveleth,Beechcraft King Air A100,8,8,0
11/6/2002,"Near Niederanven, Luxembourg",Luxair,"Berlin, Germany - Luxembourg",Fokker 50,22,20,0
1/8/2003,"Diyarbakir, Turkey",Turkish Airlines (THY),Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,80,75,0
1/31/2003,"Baucau, East Timor",Euro Asia Aviation,Macau - Baucau,Ilyushin II-76TD,6,6,0
5/26/2003,"Near Macka, Turkey",Ukranian-Mediterranean Airlines,"Kabul, Afghanistan - Trabzon, Turkey - Zaragoza, Spain",Yakovlev 42D,75,75,0
6/6/2003,"Christchurch, New Zealand",Charter - Air Adventures New Zealand Ltd,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,10,8,0
9/27/2003,"Gaspé, Quebec, Canada",Les Ailes de Gaspé Inc.,Gaspé - Îles-de-la-Madeleine,Piper PA31-310,3,3,0
1/13/2004,"Tashkent, Uzbekistan",Uzbekistan Airways,Termez - Tashkent,Yakovlev YAK-40,37,37,0
8/27/2004,"Near MGrath, Alaska",Mavrik Aire Transport,Kenai - McGrath - Kotzebue,de Havilland DHC-3 Otter,3,1,0
11/22/2004,"Houston, Texas",Business Jet Services,Dallas - Houston,Grumman Gulfstream G3,3,3,0
10/24/2004,"Martinsville, Virginia",Private - Hendrick Motorsports Inc.,"Concord, NC - Martinsville, VA",Beech 200 Super King Air,10,10,0
11/28/2004,"Montrose, Colorado",Glow Air/Air Castle - Charter,"Montrose, CO - South Bend, IN",Canadair CL-601-2A12 Challenger,6,3,0
1/13/2005,"Manguipayan, Colombia",Military - Colombian government,,Black Hawk helicopter,20,20,0
3/16/2005,"Varandey, Russia",Regional Airlines,Ufa - Usinsk - Perm - Varandey - Naryan Mar,Antonov 24,52,28,0
6/2/2006,"Groton, Connecticut",International Jet Charter,"AtlantiCity, NJ - Groton, CT",Learjet 35A,5,2,0
6/8/2006,"Mullan, Idaho",Air Taxi - MajestiAlliance,"Coeur d'Alene, ID - Missoula, MT",Cessna TU206G,2,2,0
11/18/2006,"Near Leticia, Colombia",Aerosucre Colombia,Bogota - Leticia,Boeing 727-23F,5,5,0
10/19/2006,"Tashkent, Russia",Military - Russian Air Force/Uzbekistan Airways,Training/Aranchi,Antonov An-2,15,15,0
12/10/2006,"Cajon Pass, California",Air ambulance - Mercy Air Services,Loma Linda - Victorville,Bell 412,3,3,0
1/9/2007,"Near Balad Air Base, Iraq",Moldovan Aeriantur-M Air Cargo,"Adana, Turkey - Balad Air Base, Iraq",Antonov 26B-100,35,34,0
3/17/2007,"Samara, Russia",UTAir Airlines,Surgut - Samara,Tupelov 134AK,57,6,0
6/16/2007,"Vungano Hills, Malawi",Nyika Safaris,Lilongwe to Rumchi,Cessna 206,6,6,0
1/12/2008,"Blace, Macedonia",Military - Macedonian Air Force,"Bosnia - Skopje, Macedonia",Mi-17 Helicopter,11,11,0
12/9/2007,"Kiev, Ukraine",Fun Air,HradeKrálové - Kiev,Beechcraft King Air C90B,5,5,0
1/19/2008,"Near Huambo, Angola",Gira Globo Charter,"Luanda, Angola - Huambo, Angola",Beechcraft King Air B200,13,13,0
6/8/2008,"Huntsville, Texas",PHI Air Medical,Huntsville-Houston,Bell 407,4,4,0
9/27/2008,"Camp Springs, Maryland",Maryland State Police,Medical evacuation flight,Aerospatiale SA365N-1 Dauphin II,5,4,0
10/8/2008,"Lukla, Nepal",Yeti Airlines,Katmandu - Lukla,de Havilland Canada DHC-6 Twin Otter 300,19,18,0
12/3/2008,"San Juan, Puerto Rico",Webstas Aviation Services Inc.,"Tortola Virgin Islands - San Juan, PR",Rockwell International 690B,3,3,0
2/15/2009,"Chanco, Chile",Flight Service,,Bell UH-1H,13,13,0
6/7/2009,"Near Port Hope Simpson, Newfoundland, Canada",Strait Air,Lourdes de BlanSablon - Port Hope Simpson,Britten-Norman BN-2A-27 Islander,1,1,0
