Date,Location,Operator,Route,Type,Aboard,Fatalities,Ground
4/19/1945,"Near Perth, Australia",Military - U.S. Navy,,Douglas DC-3,13,13,0
7/28/1945,"New York, New York",Military - U.S. Army Air Forces,,North American B-25D bomber,3,3,11
3/3/1946,"Live Oak Springs, California",American Airlines,Dallas - Tucon - San Diego,Douglas DC-3-227B,27,27,0
9/5/1946,"Elko, Nevada",Trans-Luxury Airlines,New York City - San Francisco,Douglas DC-3 (C-47-A5-DL),22,21,0
9/7/1946,"Nome, Alaska",Mt. McKinley Airfreight,,Douglas C-47A,4,4,0
12/25/1946,"Lunghwa, Shanghai, China",China National Aviation Corporation,,"Curtiss C-46, C-47, DC-3",,87,4
12/28/1946,"Near Shannon, Ireland",Trans Continental and Western Air,Paris - Shannon,Lockheed 049 Consellation,23,13,0
2/15/1947,"Near Bogota, Colombia",AVIANCA,Barranquilla - Bogota,Douglas DC-4,53,53,0
11/21/1947,"Phouznicie, Romania",TARS,Bucurest - Prague,Lisunov Li-2,26,13,0
7/24/1948,"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Port Meunier - Gaspé,Douglas DC-3,26,26,0
7/29/1948,"Buenos Aires, Argentina",ALFA,Rosario - Bueno Aires,Short Sandringham 2 (flying boat),24,18,0
10/20/1948,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Amsterdam - Prestwick - New York City,Lockheed 049-46-25 Constellation,40,40,0
11/8/1948,"Mt. Macedon, Australia",Australian National Airways,Melbourne - Denilquin,Douglas DC-3,23,3,0
12/6/1948,"Milan, Italy",,Milan - Brussels,Douglas C-47,7,7,0
1/2/1949,"Seattle, Washington",Seattle Air Charter,Seattle - New Haven,Douglas DC-3 (C-47A-DL),30,14,0
10/31/1950,"London Heathrow, England",British European Airways,Paris - London,Vickers 610 Viking-1B,30,28,0
4/9/1951,"Cape d'Arguilar, Hong Kong",Siamese Airways,Bangkok - Hong Kong,Douglas DC-3,16,16,0
5/18/1951,"Rancharia,  Brazil",VASP,Santa Cruz de Rio Prado - Presidente Prudent,Douglas DC-3,6,6,0
8/24/1951,"Decoto, California",United Air Lines,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,50,50,0
11/21/1951,"Calcutta, India",Deccan Airways,,Douglas DC-3,17,16,0
3/22/1952,"Frankfurt, Germany",KLM Royal Dutch Airlines,Rome - Frankfort,Douglas DC-6,47,44,0
4/18/1952,"Near Whittier, California",North Continental Airlines (Robin Airlines),"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,29,29,0
11/28/1952,"Near Tacoma, Washington",Military - U.S. Air Force,,Douglas C-54G (DC-4),38,37,0
2/7/1953,"Eysines, France",Autrex,,Douglas DC-4,20,5,0
9/16/1953,"Albany, New York",American Airlines,Boston - Hartford - Albany - Chicago,Convair CV-240-0,28,28,0
9/14/1953,"Chablekal, Mexico",Transportes Aéreos Mexicanos,Campeche - Mérida,Douglas C-47A,2,1,0
10/19/1953,"New York City, New York",Eastern Air Lines,New York City - San Juan,Lockheed 749A Constellation,27,2,0
10/29/1953,"Near Half Moon Bay, California",British Commonwealth PacifiAirlines,Sydney - Honolulu - San Francisco,Douglas DC-6,19,19,0
12/21/1955,"Jacksonville, Florida",Eastern Air Lines,Miami - Jacksonville,Lockheed 749C-79-12 Constellation,17,17,0
5/13/1957,"Near San Carlos de Bariloche, Argentina",Lineas Aereas del Estado,,Vickers 615 Viking 1B,16,16,0
9/15/1957,"New Bedford, Massachusett",Northeast Airlines,Martha's Vineyard - New Bedford,Douglas DC-3,24,12,0
9/18/1957,"Montevideo,  Uruguay",REAL,San Pablo - Porto Alegre - Montevideo,Convair CV-440-62,35,1,0
3/22/1958,"Grants, New Mexico",Private,,Lockheed 18 Lodestar,4,4,0
12/24/1958,"Winkton, England",BOAC,Test,Bristol 175 Britannia 312,12,9,0
2/3/1959,"La Guardia Airport, New York, NY",American Airlines,Chicago - New York City,Lockheed  188A Electra,73,65,0
2/17/1959,"Gatwick, Surrey, England",Turkish Airlines (THY),Ankara - Istanbul -  London,Vickers Viscount 794D,24,14,0
6/10/1960,"Off  Mackay, Qld. Australia",Trans Australia Airlines,Rockhampton - MacKay,Fokker F-27 Friendship 100,29,29,0
9/28/1960,"Near Juchetipec, Mexico",Mexicana,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),18,8,0
9/10/1961,"Shannon, Ireland",President Airlines,Shannon - Gander,Douglas DC-6B,83,83,0
11/30/1962,"New York, New York",Eastern Air Lines,Charlotte - New York City,Douglas DC-7B,51,25,0
7/1/1963,"Passo Fundo, Brazil",Varig,Carazinbo - Passo Fundo,Douglas DC-3,18,15,0
7/17/1963,"Pak Tha, Laos",Air America,,Curtiss C-46F,6,6,0
8/21/1963,"Near Leningrad , Russia",Aeroflot,Tallinn - Moscow,Tupelov Tu-124,52,0,0
9/4/1963,"Durrenasch, Aargau, Switzerland",Swissair,Zurich - Geneva,Sud-Aviation Caravelle III,80,80,0
11/8/1963,"Mariehamn, Aaland Island, Finland",Finnair,Turku - Mariehamn,Douglas DC-3,24,22,0
12/17/1963,"Los Angeles, California",Western Airlines,,Douglas DC-6B,46,0,0
5/8/1964,"Near Lima, Peru",Fuerza Aérea Argentina,Buenos Aires - Lima,Douglas C-54,49,46,0
